Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.310892,2.806629,1.629305,1.783843,0.636782,1.328161,1.231316,1.121554,0.807635,1.270259,0.881217,1.075915,0.42247,0.229872,0.683969,0.606472,0.805831,1.156507,0.778273,0.826157,0.741958,0.726725,0.726578,0.728226,0.745693,0.734472,0.560765,0.296733,0.344605,0.187027,0.187968,0.154868,0.102566,0.060325,0.051122,0.097606,0.077176,0.114339,0.128615,0.100433,0.113171,0.096883,0.111026,0.090589,0.105766,0.080097,-0.125899,-0.142588,0.105651,-0.030431,-0.001029,-0.016698,-0.073073,-0.032724,-0.019516,0.012142,-0.014605,-0.052312,-0.075655,-0.053976,-0.018544,-0.031393,-0.000187,-0.024932,-0.061684,-0.059756,0.346941,0.151323,0.111983,0.092712,0.011879,0.073119,0.019381,0.053414,0.038539,0.061782,0.034458,0.05372,0.143987,0.163245,0.060438,-0.067156,0.017853,-0.036083,-0.048039,-0.022328,0.193671,-0.067627,-0.055171,-0.009484,0.008376,-0.00829,-0.014928,-0.025458,0.021251,-0.034663,0.038979,0.039834,0.01047,0.010642,0.016658,0.020657,-0.031541,-0.009579,0.024358,0.02112,0.191814,0.127148,0.211464,0.222577,0.196038,0.158234,0.175301,0.160153,0.203476,0.024605,0.042449,0.200957,0.182457,0.204688,0.214525,0.176858,0.188589,0.151639,0.179659,0.233565,0.243704,0.202668,0.208991,0.209732,0.208415,0.220386,0.182565,0.160926,-0.073846,-0.006959,-0.028836,-0.023189,-0.008148,-0.051936,-0.01775,-0.000818,-0.02426,-0.032946,-0.046734,-0.043276,-0.009324,0.094054,-0.031769,-0.012423
1,2.102072,1.859518,1.828305,1.459639,1.114966,1.977506,1.777313,1.367913,0.669952,1.362823,0.617269,0.826033,0.906338,0.557246,0.392262,0.889394,1.638898,0.583231,0.715895,0.388793,0.417908,1.332217,0.705987,0.388782,0.379153,0.361688,0.725803,0.88484,0.928281,0.966223,1.224343,0.738296,0.497185,0.536095,0.989099,0.548949,0.572322,0.881004,0.907686,0.89338,0.828532,0.917453,0.863788,0.438958,0.44509,0.707773,0.467009,0.484725,0.889182,0.864987,0.864336,0.869603,0.8554,0.92571,0.96195,0.944979,0.928049,0.955148,0.934433,0.892103,0.74439,0.778938,0.674531,0.640344,0.822068,0.693096,0.737139,0.484891,0.4745,0.483815,0.428043,0.446698,0.468123,0.429784,0.447632,0.458948,0.474822,0.453724,0.716612,0.737235,0.425651,0.459965,0.026307,-0.002317,0.083442,0.037801,0.055685,-0.00277,0.040944,0.041317,-0.349475,-0.326279,-0.32976,-0.324116,-0.309872,-0.311458,-0.384594,-0.326919,-0.325744,-0.286154,-0.318959,-0.321959,0.065791,0.081245,0.060543,0.10455,0.016204,0.09044,0.056974,0.052506,0.108791,0.015709,0.055836,0.050837,0.041446,0.021736,-0.314494,0.07568,0.008313,0.11279,0.072295,0.048428,0.05763,0.103861,0.06599,0.087611,-0.328307,-0.307506,-0.309279,-0.358322,-0.338332,-0.338003,-0.339295,-0.362077,-0.322201,-0.366929,-0.295902,-0.297337,-0.36232,-0.289806,-0.300115,-0.308211,-0.31187,-0.308916,-0.333664,-0.343727,-0.350062,-0.335614,-0.363834,-0.336655
2,1.503813,0.832404,0.592305,1.397051,1.828497,1.984825,1.97458,2.154133,1.537292,0.81067,0.685728,0.510589,0.288652,-0.032554,-0.037982,-0.062041,0.156544,-0.051551,0.429854,0.352535,0.087584,0.052685,0.746014,-0.033649,0.055314,0.264471,0.286227,0.720008,0.481771,0.264957,0.374239,0.051513,0.033424,0.090158,0.107409,0.083609,0.12409,0.172125,0.036484,0.088263,0.091165,0.293571,0.34992,0.346387,0.456807,0.305583,0.280627,0.255274,0.112209,0.210751,0.153311,0.192738,0.188608,0.005035,0.155509,-0.020296,-0.026115,-0.004256,-0.023311,-0.009541,0.016526,-0.01281,-0.068224,-0.024254,-0.048556,-0.049926,-0.043254,-0.032237,-0.006997,-0.024224,-0.000986,0.013901,0.034368,0.008033,-0.022417,0.006559,-0.009144,-0.004025,-0.008448,-0.015264,0.026612,-0.059985,-0.01355,-0.019466,-0.132914,-0.104878,-0.111998,-0.136446,-0.086986,-0.214837,-0.207384,-0.238049,-0.215023,-0.188113,-0.204952,0.13988,0.149619,0.183388,0.160748,0.134187,0.172381,-0.19433,-0.1863,-0.149916,-0.11689,-0.073108,-0.095191,-0.147455,-0.108554,-0.169059,-0.09973,-0.154871,-0.090836,-0.132425,-0.226746,-0.18671,-0.165311,-0.143833,-0.195724,-0.171062,-0.04046,-0.057305,0.003931,-0.222347,-0.214911,-0.197155,-0.170182,-0.20717,0.1712,-0.02096,-0.070566,-0.225065,-0.001659,-0.105705,-0.010086,0.026197,0.003315,0.042139,0.063246,-0.023064,0.025354,0.029397,-0.000411,0.001603,0.03284,-0.02195,-0.018395,-0.092278,-0.087043,-0.119192
3,2.340689,2.318614,1.429524,1.201439,1.612018,1.474646,1.244261,0.45234,1.136544,0.752592,0.72702,0.438552,1.320033,0.467038,1.06907,0.314832,0.593568,1.043361,1.119369,0.669608,0.655345,0.490583,0.627555,0.937261,0.63822,0.486769,0.557722,0.266416,0.57173,0.675136,0.956107,0.583251,0.552455,0.696303,0.705574,0.64073,0.261319,0.261852,0.258679,0.244708,0.273065,-0.014952,-0.175327,0.136693,0.103552,0.117256,0.054896,0.466324,0.450051,0.386872,0.405724,0.393016,0.343936,0.532692,0.717581,0.732741,0.751326,0.352934,0.415077,0.288824,0.050113,0.082046,0.051404,0.275307,-0.002686,0.031583,0.037981,0.085883,0.072814,0.028881,0.263166,0.254942,0.292666,0.527877,0.541591,0.059184,0.213609,0.521742,0.47281,0.501983,0.509372,0.251903,0.212205,0.232202,0.25399,0.228478,0.209236,0.222494,0.237781,0.228863,0.304047,0.196226,0.258803,0.509608,0.526856,0.444959,0.268612,0.044409,-0.180146,-0.187891,-0.13926,-0.145751,-0.201305,-0.027209,0.188907,0.151241,-0.18868,0.245644,0.237407,0.271976,-0.19615,-0.219072,-0.156636,-0.1771,-0.200632,-0.146425,-0.176923,-0.178093,-0.212047,-0.169427,-0.161806,-0.196219,0.002431,-0.09167,-0.033009,-0.033709,-0.002063,-0.037943,-0.07477,-0.034526,0.00197,-0.018229,-0.039125,-0.260574,-0.259371,-0.320914,-0.272326,-0.000604,-0.008165,-0.00974,-0.041222,-0.018482,-0.073784,-0.048235,-0.051586,-0.072557,-0.029444,0.016213,-0.002739,-0.022902
4,3.402298,3.640742,3.65873,3.072048,2.883648,3.207231,2.531555,2.870307,1.54498,2.014923,1.762382,1.50635,1.632591,1.794971,1.801023,1.77198,1.758649,1.807254,2.071973,1.58296,2.005637,2.027723,1.945835,1.437919,0.945392,1.362903,1.19802,1.575819,1.748427,1.753525,1.732065,1.716576,2.00291,1.68481,1.694225,1.689581,1.674504,1.913631,1.921254,1.903413,1.917246,1.350624,1.579035,0.607995,0.648493,0.647106,0.677317,0.655261,0.991186,0.678478,0.627147,0.800435,0.511839,0.067792,0.084269,0.062158,0.075086,0.042948,0.077948,0.102021,0.296385,0.223602,0.308275,0.220529,0.228523,0.245016,0.248195,0.263923,0.264201,0.247124,0.417853,0.4782,0.475288,0.396157,0.405848,0.258348,0.437922,0.232666,0.217861,0.23547,0.227781,0.448348,0.463723,0.439874,0.275971,0.425592,0.410543,0.496394,0.428091,0.209228,0.249237,0.268585,0.219921,0.281338,0.270646,0.420334,0.416451,0.411376,0.361006,0.416444,0.39948,0.352711,0.271782,0.462458,0.460749,0.239768,0.245077,0.391421,0.372783,0.389352,0.363156,0.352641,0.343258,0.376679,0.388291,0.368823,0.378494,0.23713,0.257556,0.209264,0.368037,0.356023,0.374494,0.340587,0.207306,0.265939,0.210939,0.247812,0.253182,0.282072,0.389382,0.390718,0.236063,0.198404,0.227043,0.208633,0.363901,0.253308,0.241506,0.475084,0.371172,0.428063,0.414586,0.420953,0.45901,0.461845,0.394678,0.432092,0.436002,0.453243
5,0.961776,2.101855,1.797284,1.615757,1.233874,1.71999,1.816391,2.391154,3.024472,1.465799,1.265704,1.459661,1.33359,1.807178,1.75098,2.746372,2.294325,2.319989,1.147895,1.327967,1.523347,1.398293,0.864159,0.889695,0.898881,0.498506,0.114451,0.118209,0.510719,0.544234,0.515784,0.52115,0.515675,0.527463,0.497644,0.364625,1.305231,0.299506,1.083478,0.298622,0.804304,0.765125,0.825449,0.820274,0.760335,0.809275,0.764868,0.779072,0.137691,0.130435,0.170049,0.142499,0.156066,0.103393,0.366949,0.108551,0.335295,0.364064,0.360533,-0.161191,-0.207312,-0.177473,-0.179116,-0.232196,-0.20348,-0.179511,-0.196639,-0.228379,-0.179881,-0.192804,-0.212359,-0.202939,-0.211121,-0.18901,-0.203593,-0.202806,-0.231336,-0.197808,-0.20635,-0.154247,-0.183626,-0.219117,-0.174234,-0.174858,-0.219923,-0.191821,-0.207042,-0.21027,-0.14638,-0.180602,-0.174988,-0.182827,-0.18315,-0.168292,-0.177782,-0.22163,-0.162592,-0.201396,-0.226211,-0.176822,-0.182398,-0.161831,-0.227048,-0.213563,-0.225102,-0.202776,-0.219265,-0.224969,-0.160216,-0.200865,-0.186741,-0.225101,-0.197765,-0.192119,-0.160733,-0.184655,-0.18912,-0.218259,-0.191373,-0.152373,-0.203604,-0.169336,-0.209986,-0.188267,-0.204132,-0.132763,-0.163383,-0.230306,-0.152745,-0.182164,-0.184171,-0.154401,-0.156661,-0.24331,-0.216101,-0.226913,-0.188589,-0.214971,-0.208814,-0.170105,-0.209617,-0.197615,-0.231008,-0.184733,-0.220108,-0.171779,-0.209762,-0.20122,-0.209894,-0.241217
6,1.388155,0.560563,0.844798,1.091105,1.881061,2.977572,1.253607,1.221599,0.876008,1.233605,1.509314,1.438292,1.961148,1.962382,1.480445,1.662929,1.403128,1.422558,1.946603,1.172985,1.298137,1.234392,1.087276,0.176124,0.456207,0.17749,0.20726,1.127102,1.117193,1.119738,0.877394,0.821314,0.549019,0.772669,0.517136,0.536153,0.570373,0.014685,0.878018,0.887822,0.90583,0.847508,0.835416,0.869762,0.906542,0.924422,0.899189,0.903038,0.872294,0.553063,0.713535,0.719742,0.558668,0.573881,-0.046312,0.582141,0.592858,-0.116893,-0.133355,-0.115475,-0.080932,-0.055188,-0.084006,-0.150019,-0.078172,0.133422,0.123092,0.135755,-0.137811,-0.049197,-0.059964,-0.115442,-0.070625,-0.084351,-0.130031,-0.109783,-0.070178,0.054018,-0.027538,-0.019307,0.008565,-0.056957,-0.237115,-0.01861,0.028576,0.017535,-0.079032,-0.088397,-0.097162,0.035201,0.059029,0.001153,0.020965,0.025651,0.012306,0.055244,0.031522,0.00624,0.064838,0.058282,0.039745,-0.007031,0.025703,0.004843,0.003441,0.058797,0.049134,0.040024,0.065231,0.020664,0.041026,0.026025,0.048799,0.108994,0.05069,0.082422,0.055454,0.036261,0.051581,0.064043,0.037022,0.005406,0.061014,0.046687,0.021132,0.040967,0.012919,0.038544,0.061415,0.052312,0.056889,0.035247,-0.002051,0.077024,0.031295,0.034444,0.227702,0.26205,0.043959,-0.003618,0.047654,0.095038,0.030527,0.045386,0.048204,0.238162,0.290167,0.275857,0.24589,0.186704
7,1.26705,1.797368,2.331697,2.548272,2.538133,1.97235,3.06179,3.03676,2.603761,2.027565,1.987219,1.802072,1.105092,0.562726,0.606,0.581937,0.546995,0.259877,0.296776,0.270868,0.579418,0.86112,0.595608,0.598581,0.565595,0.54005,0.506127,0.566199,0.551051,0.52244,0.515702,0.534019,0.51235,0.500519,0.52622,0.569875,0.28672,0.468381,0.470782,0.509408,0.4898,0.509291,0.49534,0.4972,0.237128,0.341799,0.34933,0.321522,0.286064,0.315189,0.000645,0.03951,0.049855,0.004729,0.103264,0.282799,0.253725,0.28738,0.25915,0.253405,0.245014,0.259121,0.263406,0.283292,-0.049298,-0.006996,-0.020536,-0.055139,-0.042683,-0.072157,-0.059038,-0.084856,-0.067461,-0.07481,-0.081763,-0.0163,-0.00891,-0.052153,-0.025658,-0.01907,-0.039596,-0.021663,-0.025969,-0.052837,-0.001535,0.002454,-0.02381,-0.026657,-0.045596,-0.031289,-0.032291,-0.031627,-0.01296,-0.073365,-0.071317,-0.066396,-0.069915,-0.040988,-0.11133,-0.036787,0.051575,0.099139,0.104257,-0.050194,-0.023733,-0.029428,0.031205,-0.035989,-0.043103,-0.064982,-0.050977,-0.021301,-0.054546,-0.043524,-0.067211,-0.060024,-0.06043,-0.052885,-0.115439,-0.038505,-0.050167,-0.050365,-0.097437,-0.064729,-0.050163,-0.053427,-0.011476,-0.047597,-0.052974,-0.03098,0.158973,0.170171,-0.092498,-0.123291,0.157624,0.158949,-0.09795,0.165899,-0.131263,-0.150489,-0.133462,-0.140713,-0.062875,-0.136738,-0.190316,-0.085439,-0.099585,-0.112801,-0.104575,-0.14025
8,1.709454,0.549171,0.936414,1.495284,0.886893,0.830938,0.642776,0.857167,1.826204,2.65402,2.697757,2.842493,1.20249,1.198538,1.134924,1.216441,1.183273,0.982037,0.917254,0.7195,0.57928,0.583599,0.557251,0.534523,0.818543,0.814696,0.520009,0.437105,0.50139,0.461043,0.419632,0.446743,0.679699,0.220776,0.235816,0.20258,0.235987,0.226149,0.235733,0.261547,0.240508,0.686162,0.269718,0.242445,0.332213,0.268364,0.257439,0.504937,0.126032,0.019456,0.245604,0.022204,0.024749,0.044789,0.04705,0.13365,0.140446,0.168319,0.112845,0.013603,0.022546,0.034018,0.042879,0.005428,0.063024,0.086746,0.016394,0.027608,0.023999,0.060996,0.001521,0.058859,-0.038398,0.003884,0.019867,-0.003114,-0.016059,-0.003888,-0.035535,-0.004,-0.023743,0.044053,-0.022514,0.005281,0.010466,0.011036,0.017358,-0.021532,0.008069,-0.018341,-0.010111,-0.013207,-0.032449,-0.045548,-0.009743,0.013749,-0.003147,-0.007365,0.020792,0.406968,0.399765,0.376043,-0.013772,-0.036005,0.108489,0.099873,-0.021235,0.01417,0.114295,0.154947,-0.022788,0.005461,0.101775,0.151539,0.159006,0.105467,0.054888,-0.031954,0.016083,0.001123,-0.031165,0.036636,0.024129,0.140048,-0.001764,-0.031846,0.121222,0.132992,0.161968,0.151665,0.115028,0.1368,0.113314,0.141604,0.139172,0.120827,0.111715,0.151796,0.114686,0.127257,0.091229,0.098497,0.153303,-0.28558,0.049314,0.132128,0.073543,0.109107,0.082126,0.09438
9,2.294234,2.245143,1.639802,1.532539,1.232043,1.926563,1.249725,0.970036,1.085551,1.01385,1.072335,1.095958,1.07411,1.07757,0.639119,0.808066,1.020447,0.976662,0.681079,0.800505,0.656747,0.696205,0.959542,0.977375,0.968121,0.946411,0.960954,0.953396,0.980222,0.72713,0.995349,0.942341,0.503927,0.648134,0.647398,0.662036,0.551877,0.548398,0.555392,0.497993,0.571013,0.547028,0.839871,0.553243,0.317762,0.358864,0.321004,0.255262,0.246639,0.509936,0.154116,0.525276,0.529637,0.554448,0.571688,0.160026,-0.030396,-0.019412,0.3023,0.267387,0.244143,0.446791,0.473232,0.417467,0.453413,0.466082,0.464351,0.463073,0.478181,0.487734,0.236201,0.205218,0.202888,0.183318,0.231481,0.212629,0.171027,0.173958,0.177685,0.142552,0.186488,0.094302,0.150392,0.200733,0.2364,0.201376,0.237304,0.258501,0.232756,0.250711,-0.158561,-0.179213,-0.196592,-0.178304,-0.172636,-0.161782,-0.169221,0.051992,0.06447,0.050938,0.035478,0.068468,-0.168638,-0.151575,-0.176547,-0.170719,-0.21289,-0.186682,-0.183461,-0.123756,-0.181647,-0.220955,-0.176596,-0.181564,-0.152318,-0.153644,-0.161583,-0.143959,-0.201196,-0.202118,-0.146054,-0.186284,0.041558,0.062513,0.086847,0.08078,0.10023,0.087912,0.112884,0.079176,0.109245,0.044071,0.112914,0.068746,0.072951,0.069516,0.083291,0.073141,0.084322,0.107876,0.090557,0.132142,0.061404,0.115104,0.093514,0.059944,0.043849,0.109165,0.059773,0.050371
