Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,6.547505,10.061055,5.086405,3.343699,6.139195,3.998944,4.231649,4.621562,4.34482,4.72877,5.364634,4.357939,5.814297,3.350952,7.316648,4.250933,2.639777,4.956115,3.096816,0.967324,5.114444,8.615233,4.599854,3.588753,5.066183,4.497118,4.536412,3.11145,2.759229,5.884971,3.63195,4.301667,3.369405,5.178612,2.132789,2.66869,2.11126,2.664206,3.38186,1.810381,2.017531,2.405846,2.206265,2.64508,1.518841,0.339332,1.041491,1.505072,3.722462,1.030704,1.582403,2.739834,2.241106,2.510731,1.24585,2.502385,1.984329,0.2511,2.583103,2.848276,1.164117,1.520677,0.594419,1.959799,1.637132,0.502462,2.373597,1.742759,0.585935,0.841707,1.513308,1.289553,0.925079,1.081048,1.124843,1.068215,1.713759,1.552828,1.818019,3.394049,2.76549,1.396003,0.216365,1.687488,2.949564,0.698927,1.519703,-0.106498,0.840452,2.523996,0.551905,1.942913,2.50282,1.584531,0.55619,-0.064575,0.24684,0.269173,0.214706,1.242459,1.026885,1.12942,0.390521,2.059333,1.435391,1.469662,1.334489,0.951568,0.626459,1.241784,1.833686,1.792698,0.819515,0.840715,0.501113,1.298219,1.384087,2.772725,1.199184,0.315141,1.887176,0.287288,2.294926,-0.285582,1.633675,0.91843,1.675435,0.255114,0.895064,1.2046,1.071589,0.482199,0.781141,1.16603,1.288935,0.090521,1.442385,1.466909,0.41011,0.88534,-0.050652,0.7262,0.273094,1.466106,-0.085904,0.278158,0.892197,0.190629,2.102355,0.587165
1,5.381321,3.877741,5.440925,4.215889,3.301476,6.109452,3.962322,2.552578,2.936966,4.488808,4.535427,4.29906,7.863059,4.973739,1.473652,3.199023,3.40854,5.935685,3.298974,4.457813,2.551163,0.74867,2.283767,2.012916,2.421814,3.111827,3.609329,1.547436,2.268166,3.652801,2.504726,1.357629,2.413276,1.601587,3.746991,1.098552,2.80944,3.045186,1.012472,1.789872,5.513701,2.294427,3.128779,2.544746,1.871224,1.263268,3.10984,1.385803,1.34297,1.964049,1.183616,2.159043,2.001049,1.088529,0.367624,1.802055,2.156039,2.108808,1.282103,1.277514,1.396,2.036062,2.830841,1.196123,1.600215,2.526524,1.492496,1.68163,2.025095,2.417348,1.492547,0.967569,0.90545,2.235153,2.660576,2.911149,0.83449,2.204599,2.064195,2.103694,0.541968,2.219927,1.90563,2.319977,3.574355,2.690523,1.884487,1.357288,0.145551,0.71595,1.196018,1.990889,0.830502,0.721453,1.746424,1.967189,0.524371,1.458911,1.201242,1.596973,1.037588,0.973547,0.860285,1.378021,1.742455,2.058087,0.729417,0.471113,1.580587,1.234652,1.121607,1.373914,2.825118,0.488687,0.899193,1.997247,1.14969,1.501609,1.27861,0.285376,0.92059,0.833529,0.851476,1.546123,1.392214,0.862362,0.781561,0.795787,-0.34466,0.766399,0.878566,2.381321,0.865103,0.538842,1.006515,0.527229,0.997221,0.686465,0.223286,0.925835,1.596649,0.701087,1.76228,0.132131,0.346084,0.562618,0.452807,0.519258,0.311985,1.563951
2,4.042267,5.122734,4.746082,5.608427,3.479062,4.145516,4.877641,3.205334,3.811762,3.367207,3.608692,2.945663,2.771308,1.375932,2.806489,2.280862,1.599355,1.367657,2.956338,3.903842,4.238944,1.811132,5.767475,3.261054,0.722503,0.943147,2.409736,2.759149,1.392846,2.804835,1.709539,1.059976,1.52693,3.173058,3.039517,1.125552,2.359268,0.908844,1.201771,3.965069,2.041557,1.503954,1.983456,1.634755,1.803441,2.394782,1.151718,2.073887,0.799646,1.579456,1.391826,1.133838,0.892749,1.425268,0.712841,1.40091,1.302261,2.094675,0.797157,0.285588,1.737388,1.205117,0.149753,1.199706,0.099201,0.272348,0.611177,1.452326,1.443746,1.078372,0.483225,0.028842,1.082952,2.085633,0.186345,0.614547,1.395367,1.05803,0.489949,0.625745,-0.246221,1.086048,1.286113,1.236127,1.162912,1.714239,0.187632,-0.058135,0.297089,1.67842,1.199335,1.857238,0.95877,0.0714,0.606614,2.162185,2.635148,0.302022,0.737731,0.643576,0.395903,1.097346,1.316208,0.818415,0.662717,0.621385,0.495312,1.47216,1.274999,1.074147,0.771946,1.142598,1.219993,0.962552,0.785767,0.570458,1.211203,0.158251,0.751614,1.509216,0.695355,0.428274,1.350456,0.972996,0.314003,0.858238,0.985681,0.783001,0.826514,-0.058667,0.731312,0.619911,1.148577,0.465106,0.801518,0.203676,0.800103,0.922505,0.815858,1.140907,1.076634,0.719492,1.026231,2.023434,2.106316,1.34078,2.649705,1.770392,-0.09909,-0.021076
3,4.448617,4.794395,3.762167,2.497092,3.463948,5.763683,4.847265,5.535158,3.241536,4.897057,3.178118,3.649629,3.656682,3.221483,1.189781,2.725549,3.673245,1.50951,2.955471,1.87902,2.154641,2.471771,1.589617,3.007575,2.132974,1.821326,4.542729,2.216121,1.929112,1.994422,3.081779,1.479473,1.270888,1.61362,1.159928,3.408126,1.510489,2.033292,0.351208,2.232669,1.966178,0.895453,0.366222,1.52475,0.713177,2.65264,1.349449,0.734703,2.924994,1.541012,0.301219,1.168397,2.630974,0.291216,0.538583,0.733353,1.624432,0.565738,0.588927,1.647633,0.322484,0.855721,2.397721,1.530013,1.704778,0.859717,0.429269,1.527573,0.962416,1.69249,-0.026331,1.232161,-0.18664,2.772074,2.475762,1.453333,1.191944,1.074008,1.038354,3.141345,0.95523,0.848877,-0.232154,1.174816,0.424485,2.245337,1.227136,0.539593,0.249939,0.765032,0.587129,2.026123,0.276075,2.166173,0.878648,0.356614,0.925823,-0.019491,0.327861,1.017093,1.314757,1.041295,0.688329,0.626142,2.510185,0.671776,0.518274,1.076814,-0.071779,0.509883,0.14606,0.858829,0.601448,0.572174,0.883015,1.44323,0.385041,-0.055987,0.657463,1.266811,0.718873,0.691,0.405867,0.829686,0.354234,1.048709,0.619247,0.295243,0.252547,0.990211,0.194131,0.314426,0.097522,0.518884,0.687981,0.235401,0.382662,0.668845,0.364553,1.478102,-0.343054,-0.231593,-0.215063,0.704487,0.579799,0.61657,0.35678,-0.007599,0.254358,1.169207
4,8.112894,2.406404,4.726149,4.226227,9.956353,3.453556,5.39627,4.499368,2.679151,4.508724,3.493901,2.777257,4.864582,6.220259,3.315639,4.77174,3.509316,4.552953,4.465022,5.563733,2.956317,2.472719,5.083017,6.966069,2.286365,3.132389,1.507663,4.500782,2.725503,2.017896,2.530755,3.465914,2.644026,4.349983,3.521586,2.848227,4.101045,2.493807,2.236883,3.380441,2.619475,2.584135,2.269737,2.122569,3.118095,2.145519,2.240175,2.945453,1.220216,1.73539,4.483102,2.110877,1.581363,2.462673,3.017956,2.46243,2.941548,2.253027,2.660234,0.686335,1.02551,1.179243,2.387553,2.071088,1.871042,1.205992,1.344859,1.812119,0.450749,1.675744,1.955467,1.540334,1.665633,1.330776,1.338335,1.018228,-0.392783,1.161716,2.038466,1.025737,2.323248,1.465719,0.396484,1.515904,0.503754,1.365869,1.261355,2.144071,0.919833,0.662751,0.443569,1.074909,1.119049,0.8368,0.345013,0.57752,0.832399,1.877947,1.3139,1.789628,0.260183,1.183535,0.049522,1.457,1.264379,0.742509,0.449582,0.730002,0.678149,0.874367,0.322094,0.837153,-0.189097,0.806248,0.559809,0.456681,0.597119,0.304959,1.619528,0.51258,1.116589,0.610627,0.274878,0.029016,0.610439,0.373086,0.328239,0.41309,0.530172,0.219468,1.818613,0.293132,0.800789,1.236317,0.717831,1.048965,0.394663,0.572344,0.602227,0.139586,0.04059,0.720842,0.375273,0.614872,0.282515,0.483579,1.410941,0.727356,0.949331,1.008189
5,3.686565,6.834198,2.709543,3.52018,5.120739,2.651413,5.895238,2.452237,5.136866,3.902301,1.952073,3.245846,4.370886,6.372634,4.92151,3.491407,2.745073,1.472427,4.404376,3.593139,3.603492,5.642674,3.703256,3.749006,3.508365,3.973528,2.91212,2.910366,1.810296,3.228163,2.683276,1.710097,1.577118,1.444018,2.474561,1.768363,2.658953,1.265888,2.122064,4.785804,1.655428,2.277272,3.22927,2.052143,3.636337,1.8839,0.584721,1.627925,0.943222,2.26126,1.956404,2.755628,2.253038,2.430354,0.314548,1.891855,2.25414,2.108218,0.405546,3.401766,2.569882,0.626265,1.253245,2.522672,3.024105,0.816463,2.983838,2.882335,1.054085,2.176343,0.910415,2.165318,1.921722,1.358439,1.039631,2.826125,0.197918,2.075294,1.870336,0.326229,1.221844,1.575648,0.78681,1.139955,0.587107,2.486142,1.449756,1.730439,0.944081,1.979408,2.254879,1.866057,1.238209,2.655587,1.376812,0.933602,2.475009,2.128631,1.168581,3.169013,0.449895,1.688184,2.874316,1.987278,1.156699,1.70764,1.208109,1.251607,3.188779,1.147113,1.813354,1.532299,1.075276,1.618204,0.467384,0.239607,1.805549,1.358883,0.980264,1.264807,0.330781,-0.113828,1.737952,0.880191,-0.037749,0.25169,0.272361,0.684539,0.695778,0.680951,0.014607,0.447541,0.252776,0.62969,1.746078,0.212248,0.75127,0.223756,0.450724,0.818173,0.563739,0.318735,-0.136229,-0.041356,0.78287,1.769363,0.604891,-0.277522,0.500121,-0.076454
6,3.725546,2.885815,5.515957,5.386545,5.517359,5.216085,2.70748,5.311877,2.187842,6.146846,3.315603,7.370272,3.203082,1.849426,3.08471,0.77839,2.901375,3.234339,2.884395,3.609299,1.053761,4.76885,5.80689,3.053512,4.024209,3.085579,3.382343,1.146473,0.645065,2.173833,2.902555,1.560924,1.341452,1.633153,2.007446,2.083102,1.559722,0.829743,1.876021,1.883975,1.795561,2.725113,1.386312,0.773173,1.467732,2.102357,0.620201,1.518433,1.143534,2.232315,2.317894,2.554059,0.920219,0.715637,2.346002,1.686066,1.765128,1.047966,0.698013,0.669545,0.92961,1.217069,1.997434,0.45295,1.207518,1.388502,1.191372,0.688839,0.990921,0.295805,0.470816,1.084595,1.671056,0.606899,0.907646,1.213471,0.043782,0.468064,0.120523,0.711401,0.611228,0.781111,0.271187,1.131125,0.357906,0.188915,0.608045,0.81823,0.270401,1.003073,0.080315,0.532833,2.171106,0.372116,0.527759,0.562705,0.796265,0.544157,0.08884,1.054964,0.548306,0.295851,0.569921,1.140088,0.60294,0.590768,0.401616,1.237796,1.343644,0.462947,-0.096247,0.293559,0.295109,0.827851,0.814157,1.274644,1.080545,0.641865,0.774402,1.153493,1.106949,0.583296,1.09451,0.248005,1.024541,0.019168,1.287446,0.023143,0.401948,1.703047,0.139114,0.93487,0.033306,0.39793,0.431714,0.784465,0.332406,0.783266,0.359284,0.685485,0.582173,0.368292,0.089314,1.404824,0.800065,1.266671,0.847658,2.111596,0.169626,0.601976
7,5.127649,3.84207,5.066175,7.241758,6.263766,2.946426,5.923775,3.759584,4.144276,2.645496,5.641985,4.724215,1.586633,4.724885,3.100456,5.745381,4.159575,5.284853,4.491025,3.679733,1.585867,2.367004,2.856406,0.871109,4.687772,1.683053,1.896863,2.397989,2.119416,1.796604,3.817806,1.938288,1.32798,2.952752,3.043129,2.296751,1.037046,3.029925,0.749798,1.849062,3.915699,1.621774,2.537235,1.663764,2.184814,4.112198,2.729498,1.774459,2.771753,2.002277,2.572542,1.522751,1.667329,2.449322,2.792012,1.144677,3.027471,2.623511,2.813581,1.859346,1.751081,3.447354,1.69949,2.690527,1.533808,1.350308,1.727171,2.008421,0.887932,2.407474,2.876207,2.008403,0.40001,0.874894,1.46528,0.763593,1.884573,1.524852,1.916009,0.32221,1.596447,1.626825,1.83025,0.910613,0.679636,1.393567,1.98863,1.368063,0.811643,2.042848,2.087895,2.186753,2.073019,2.308419,1.853977,1.117114,1.795488,0.16653,2.950709,1.453255,0.867134,1.188721,0.860263,1.138829,0.328921,1.459034,1.988183,1.66875,1.521239,3.334137,0.67493,2.067499,3.578491,0.545983,0.421447,0.645068,0.767329,0.713484,1.343531,1.281253,1.811573,0.905267,0.63383,1.12058,0.847656,0.882518,0.614983,-0.018573,0.454338,0.700688,1.616474,1.741587,0.675966,-0.092465,0.634137,1.965505,3.686578,1.004524,0.196484,-0.150435,0.341937,0.190222,1.067203,0.894577,0.932759,-0.602003,1.004141,1.765701,0.388236,0.678593
8,3.050381,6.425457,6.209224,8.429852,5.622915,3.332295,2.988194,4.82743,2.856577,1.56718,3.22952,6.054532,4.815627,2.984809,2.168836,2.281517,0.570938,0.985232,1.828253,3.46251,0.914764,3.188157,4.477016,0.30653,1.395932,1.186783,2.767693,0.99147,1.739459,1.291272,3.013976,1.797103,0.824451,1.047616,3.054797,0.759386,1.519707,1.745922,-0.138586,-0.162358,0.357804,3.408744,0.557823,0.444145,0.850485,0.22482,1.456404,0.21813,0.498254,2.054215,0.657043,0.743745,1.032443,-0.328905,0.997464,0.828899,-0.233929,0.856309,1.787098,1.396693,0.543668,-0.378234,0.879055,0.927095,0.673096,0.754756,0.676113,0.246419,0.333106,1.251581,0.247012,0.635386,1.334386,1.317192,0.877724,-0.084195,0.178834,0.03373,2.129328,0.804493,1.124819,0.15916,0.664607,0.638976,1.186063,1.275834,0.025813,0.649682,0.960475,1.425346,0.684586,1.565642,1.659922,0.968352,0.505435,0.651017,2.182591,3.59222,0.812288,-0.241393,-0.004067,1.662894,0.826022,0.664561,1.714004,0.783335,0.15889,0.829893,0.150617,0.238289,0.222452,-0.014157,2.202358,1.195638,0.764502,0.684243,1.067325,0.462886,1.568251,0.81055,0.908136,0.800367,0.377308,-0.122934,1.554406,1.435298,0.991691,0.870307,0.313594,0.124649,0.792297,0.849708,0.180076,0.701715,0.489043,0.882064,0.768274,2.265645,0.529874,0.859268,0.371149,0.23405,1.4401,1.081778,0.486923,0.534708,0.566432,0.272424,0.5402,0.475018
9,5.232184,3.457648,4.206556,5.342831,1.756475,5.113804,4.015935,3.84124,4.672947,1.223151,3.289414,4.282996,5.01238,5.485308,2.122042,3.156193,4.214963,2.457492,3.468183,1.933839,3.205241,4.24231,4.506151,4.212438,3.081904,4.027552,2.967093,3.335851,1.854282,5.415564,0.97264,4.267742,4.121358,1.972217,1.658606,1.696969,2.794809,1.867183,0.719452,1.411499,2.280746,2.686256,1.120356,1.062243,1.704775,0.592746,1.648136,3.441991,1.669658,3.367824,1.747397,0.42825,2.140737,0.678385,3.322227,1.121017,0.753449,2.145205,2.206897,1.159149,0.864451,1.797337,1.637394,1.28422,0.981933,0.646475,0.774836,0.422972,0.907903,0.79278,0.943649,0.511627,0.658855,0.516259,0.111162,0.873856,0.327712,0.425896,0.950221,1.617359,0.009383,-0.177103,0.725996,0.868899,1.237904,0.644665,1.694918,0.269992,0.535952,0.870265,-0.036517,1.403007,1.322779,1.149958,1.001011,0.854605,0.713278,0.466294,0.549502,0.869498,1.339601,0.787661,0.521117,0.780471,-0.036451,0.695175,0.112747,0.320306,0.641062,0.263165,0.373928,0.889787,0.396314,0.800971,0.74998,-0.209153,0.463978,1.410275,0.59145,0.361566,0.777888,1.220714,0.859715,0.349445,0.769173,0.872588,0.4952,0.718075,0.795606,0.726199,1.286631,0.573136,0.665007,0.024289,0.339675,1.065223,1.122064,-0.030742,0.072841,0.837324,1.192961,0.047783,0.7364,0.498146,0.194257,0.619905,0.792164,0.744244,0.661934,0.859549
