Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,6.801351,6.80792,7.811931,7.81869,7.803403,7.825338,7.81007,7.822937,7.816151,7.829471,7.815596,7.782738,6.763849,6.761139,6.780179,6.774508,6.777322,6.765413,6.785971,6.765247,6.78079,6.777785,6.773607,6.784457,6.784287,6.778134,6.80539,6.774339,6.816157,6.781364,6.80122,6.791357,6.76544,6.788382,6.797864,6.769786,6.784847,6.779264,6.77216,6.770539,6.801798,6.772136,6.774224,6.787644,6.74436,6.765645,6.766011,6.817826,6.79748,6.791964,6.764703,6.776441,7.299951,7.299544,6.798755,6.773665,6.777081,6.783133,6.771261,6.781469,6.775058,6.786608,6.768419,6.795523,6.76776,7.315759,7.311894,7.297029,7.330763,7.328095,7.306774,7.352712,7.338274,7.339836,7.317539,7.307867,7.325135,7.306424,7.312605,6.792174,6.817383,6.814198,6.7885,6.808431,6.767976,6.806332,6.813041,7.306292,7.313929,6.804251,6.804455,6.803075,6.824845,6.797421,6.774688,6.780842,6.793595,6.813895,6.824766,7.330862,7.344286,7.330752,7.316081,7.327226,7.314824,6.840878,6.803165,6.828069,6.820565,6.817865,6.815371,6.776354,6.810487,6.805843,6.815402,6.818303,6.825789,6.816836,6.827875,6.820644,6.796461,6.837572,6.81692,6.820797,6.818794,6.831851,6.791538,6.815075,3.455337,3.411269,3.462284,3.46315,6.836538,6.071277,5.984702,6.09816,5.997114,5.978629,3.445105,3.464286,3.49102,3.452128,3.498864,6.074046,5.957752,3.464152,3.469189,3.482116,3.458844,3.475583
1,9.580614,9.622292,9.587567,6.08853,6.057243,6.047685,6.057029,6.05376,10.755928,10.783503,10.774302,10.77167,10.809846,10.790245,10.780309,7.686641,7.328716,7.320411,7.299189,7.32168,7.300364,7.30591,7.330245,7.318322,7.310908,7.325921,7.33076,7.34675,7.329092,7.3594,7.329911,7.287462,7.344729,7.314131,7.324259,7.30432,7.308508,7.312054,7.29309,7.308566,7.315503,7.308335,7.325038,7.314263,7.33914,7.318376,7.29557,7.32076,7.352908,7.30687,7.319122,7.309476,7.309781,7.321909,7.315421,7.311047,7.334952,7.317576,7.360587,7.290811,7.302996,7.302856,7.326831,7.30309,7.300882,7.342715,7.284692,7.311897,7.331202,7.317812,7.303513,7.314045,7.335339,7.314341,7.327741,7.288898,7.326771,7.330086,7.305771,7.303917,7.298582,7.294387,7.326212,5.958899,5.980394,5.987048,5.981787,5.980229,3.459512,3.48154,3.476311,3.426872,3.476468,3.47629,3.447389,3.463625,3.45088,3.448905,3.427952,3.438846,3.448015,3.471955,3.442102,3.466952,3.454704,3.437117,3.470347,3.450473,3.474547,3.476501,3.452509,3.43569,3.43458,3.450528,3.471943,3.460875,3.447678,3.428052,3.461401,3.451342,3.460016,3.471884,3.473934,3.466437,3.440584,3.441226,3.448451,3.471038,3.447331,3.483346,3.479797,3.490989,3.447326,3.471409,3.436662,3.459432,3.45663,3.46935,3.469335,3.424275,3.447593,3.462199,3.463697,3.470384,3.492626,3.477397,3.440118,3.474704,3.442633,3.435735
2,6.790589,6.791309,6.797993,6.785353,6.783816,6.809646,6.805778,6.807845,6.796178,6.790098,6.792044,6.8097,6.784386,6.797961,6.803404,6.808383,6.790863,6.819273,6.76003,6.787082,6.785008,6.823189,6.820566,6.796992,5.981261,5.978613,5.961988,5.978117,3.463863,3.467609,3.469022,3.474541,3.480374,3.440833,3.499005,3.438017,3.421651,6.780959,3.452325,3.449928,3.457743,3.503328,3.466896,3.418555,3.433994,3.447874,3.452618,3.458475,3.467979,3.44277,3.461169,3.432471,3.450511,3.440563,3.466571,3.458986,3.454838,3.465352,3.458399,3.494928,3.441286,3.480113,3.464533,3.458097,3.480247,3.454335,3.434144,3.435151,3.458057,3.462376,3.476895,3.464546,3.479967,3.449458,3.461268,3.461813,3.451623,3.455316,3.452259,3.431697,3.464356,3.505775,3.453174,3.485367,3.47811,3.439645,3.45832,3.48004,3.472759,3.479888,3.466007,3.447172,3.488935,3.453339,3.438951,3.47076,3.480052,3.468673,3.491226,3.437587,3.417176,3.48892,3.459503,3.505218,3.443768,3.468253,3.44205,3.453463,3.466494,3.468227,3.452472,3.477867,3.460131,3.463372,3.480773,3.47358,3.444653,3.455138,3.479286,3.445649,3.478669,3.490542,3.468257,3.470497,3.484905,3.452325,3.438455,3.490664,3.472749,3.45249,3.437122,3.462313,3.461201,3.473633,3.464228,3.447099,3.485078,3.48305,3.438907,3.462051,3.445993,3.462486,3.456699,3.439739,3.474739,3.458652,3.460525,3.470049,3.42908,3.464697
3,6.801938,8.121171,7.796357,7.807752,7.796223,7.799133,7.813591,7.782506,7.266459,7.267707,6.750514,6.746485,6.760453,6.766868,6.760979,6.777642,6.719884,6.730942,6.753857,6.7477,6.763937,6.759078,6.744515,6.758881,6.758409,6.742602,6.76172,6.755524,6.782309,6.738282,6.783725,6.7846,6.791579,6.771464,6.774173,6.731127,6.769921,6.789746,6.799456,6.763083,6.761414,6.750644,7.791765,7.805147,7.82028,7.781115,7.796119,7.792728,7.801719,7.782253,6.786282,6.723006,6.766327,6.741556,6.7736,6.724337,6.765895,6.772582,6.768755,6.791201,6.76211,6.750679,6.760575,5.957044,5.97278,5.960545,5.967353,5.979018,5.993121,5.945601,5.950151,5.975849,5.960428,5.924397,3.448488,3.444281,5.982889,5.983893,3.467431,3.478748,3.462158,3.45389,3.460888,3.424904,3.459989,3.451398,3.4782,3.447947,6.004826,3.470535,5.963434,3.438659,3.428942,5.950855,5.992599,5.956119,5.970286,5.989396,5.964583,5.981274,5.969923,5.972352,5.985633,5.96609,5.984615,5.968745,5.97541,5.983875,5.952891,5.944317,5.94853,5.946871,5.979685,3.469493,3.385754,3.458618,5.98917,3.474847,5.964044,5.941707,5.975879,5.954798,6.762261,6.776173,6.779616,6.773446,6.7627,6.755807,5.981314,6.735425,6.812562,6.754919,6.758116,6.770638,6.780988,6.782521,6.778599,6.782833,6.748924,6.76426,6.756798,6.767005,6.78178,6.759919,6.79594,6.76321,6.75722,6.785494,6.753125,6.752293
4,9.612134,9.628798,9.613117,6.089281,6.096441,6.072828,6.088574,6.080267,6.096176,6.104498,6.789659,6.775513,6.756861,6.786483,6.762252,6.776659,6.790332,6.80161,3.433222,3.466815,6.780676,6.773821,6.790197,6.785241,6.791984,6.78856,6.776113,6.777088,6.77232,6.746852,6.753504,6.786597,6.772534,6.769857,6.795252,6.774029,6.777185,6.791886,6.775524,6.787231,6.781619,6.787759,6.768688,6.785486,6.756726,6.817584,6.768929,6.769543,6.77188,6.78272,6.75962,6.794333,6.763876,6.760213,6.762031,6.769671,6.765412,6.786166,3.445111,3.44979,3.454646,3.471577,3.461788,3.476384,3.469107,3.47716,3.479199,3.476679,3.490316,3.434717,3.4819,3.452392,3.470624,3.482966,3.464219,3.480014,3.485107,3.469956,3.476354,3.484116,3.457965,3.477407,3.455329,3.493786,3.475866,3.471421,3.474067,3.443863,3.48934,3.462729,3.450339,3.437999,3.488119,3.482222,3.472112,3.488576,3.460373,3.478856,3.462681,3.418755,3.455327,6.775595,6.79642,6.025783,5.986508,5.988259,6.01111,5.975426,3.473623,3.447171,3.473675,3.494216,3.473099,5.960951,5.964687,5.983488,5.977271,5.962368,6.090771,5.965303,6.072575,5.967114,6.011617,5.996197,5.987171,5.965962,5.956092,6.012196,6.064984,5.980359,5.966905,5.988763,5.998376,6.002482,5.979745,5.978067,5.979783,5.965272,6.070498,5.95448,5.967769,5.983667,5.974376,5.958273,5.982829,5.974546,5.986296,5.979573,5.964151,5.979242
5,6.790252,6.783824,6.786894,6.038043,6.063878,6.074435,6.068927,6.056504,3.45314,3.456704,3.449899,3.437278,3.451668,3.431013,3.468282,3.489378,5.973486,5.958657,3.454219,3.448546,3.449173,3.466459,3.447592,3.461193,3.4545,3.447917,3.48966,3.460939,3.472819,3.449845,3.506514,3.428333,3.465521,3.429778,3.446267,3.436127,3.485002,3.4851,3.460991,3.436178,3.431957,3.446235,3.45546,3.480715,3.448918,3.47315,3.42856,3.457277,3.423387,3.46811,3.440402,3.462955,3.443249,3.473808,3.455633,3.451178,3.43288,3.476111,3.435962,3.437161,3.468699,3.442957,3.440136,3.466044,3.445093,3.461766,3.480538,3.467328,3.449761,3.441627,3.432509,3.483821,3.468111,3.467049,3.473202,3.476881,3.47341,3.427579,3.447339,3.475308,3.430334,3.444971,3.42044,3.457542,3.415795,3.428485,3.454781,3.481278,3.445614,3.444668,3.463085,3.44647,3.421088,3.462205,3.453766,3.458913,3.447811,3.458749,3.45568,3.463387,3.435529,3.413441,3.472677,3.4726,3.47294,3.433974,3.45831,3.436607,3.443296,3.444817,3.470078,3.482135,3.461829,3.490232,3.471549,3.454442,3.444303,3.463998,3.45833,3.470424,3.433899,3.454038,3.486633,3.446333,3.414583,3.471082,3.499897,3.441771,3.469506,3.431744,3.444198,3.450914,3.472988,3.44458,3.426469,3.441672,3.451033,3.452651,3.494984,3.459543,3.460644,3.446818,3.441712,3.471401,3.438638,3.450014,3.442823,3.461309,3.467143,3.450474
6,6.824297,6.806151,6.804139,6.807321,6.827738,6.80714,6.801974,6.811851,6.786057,6.799022,6.820926,6.805229,6.838864,6.802744,6.822164,6.826242,6.808542,6.810427,6.805879,6.812054,6.820111,6.807153,6.820378,6.801062,6.78534,6.811651,6.812424,6.800685,6.813589,3.490223,3.485751,3.475537,6.806958,3.46697,6.797951,6.844445,6.805316,6.813101,6.808611,5.9811,6.002741,3.468496,5.964875,5.96316,5.983099,5.984144,5.985137,5.98183,5.962859,5.98418,5.98373,5.996829,5.993688,5.97947,5.984983,5.990312,6.035289,5.970641,3.43158,5.998965,3.457139,3.4833,3.477052,3.500317,3.492245,3.440526,3.464249,3.462561,3.432845,3.471401,3.480163,3.468074,3.5043,3.451058,3.450377,3.502624,3.431381,3.454053,3.477678,3.49394,3.485387,3.470901,3.47918,3.443273,3.491513,3.491594,3.487263,3.480887,3.492592,3.461275,3.462701,3.46774,3.475072,3.455146,3.47559,3.455151,3.468536,3.489014,3.490222,3.488797,3.484992,3.480324,3.472641,3.458157,3.474392,3.45583,3.473135,3.502938,3.434089,3.448074,3.459239,3.468829,3.476717,3.485094,3.49052,3.466482,3.47661,3.477129,3.457564,3.490172,3.44521,3.46807,3.479264,3.470874,3.452548,3.481574,3.44327,3.490763,3.481937,3.487468,3.430153,3.474642,3.475649,3.459955,3.463444,3.483084,3.475385,3.488595,3.455925,3.454755,3.493735,3.493693,3.456514,3.434243,3.500638,3.476434,3.471283,3.465511,3.491562,3.479967
7,6.800462,6.797856,6.812472,7.809072,6.818028,7.321649,7.341629,7.304616,3.456698,3.468864,3.471699,3.476552,3.459642,3.442555,3.460517,3.466199,3.489758,3.471715,3.468941,3.487479,3.456836,3.462128,3.47805,3.477931,3.477934,3.447131,3.492964,3.437116,3.463765,3.469864,3.430702,3.467633,3.455601,3.477159,3.487851,3.476061,3.47791,3.475337,3.468144,3.4697,3.468705,3.442033,3.466288,3.440671,3.476262,3.477431,3.461724,3.463329,3.471531,3.467859,3.45922,3.494127,3.492618,3.477092,3.47864,3.501383,3.460774,3.466799,3.453647,3.492177,3.489026,3.445013,3.478513,3.456942,3.472986,3.477064,3.430034,3.448209,3.476691,3.439846,3.477645,3.489592,3.484317,3.48627,3.526516,3.488583,3.480643,3.471118,3.466213,3.462065,3.463097,3.4513,3.426699,3.464242,3.495186,3.470886,3.50303,3.468072,3.475871,3.464846,3.472976,3.479493,3.457953,3.476695,3.469435,3.460229,3.475973,3.455109,3.45231,3.475133,3.514748,3.468625,3.493046,3.489894,3.468394,3.476903,3.484745,3.467533,3.475764,3.498219,3.4776,3.485997,3.480686,3.468493,3.452125,3.459553,3.421027,3.461804,3.44164,3.431376,3.434572,3.442657,3.460158,3.476192,3.495936,3.443186,3.444264,3.455737,3.468196,3.486235,3.489198,3.457067,3.448494,3.441455,3.437691,3.462643,3.44239,3.44698,3.477019,3.491251,3.474435,3.45531,3.418665,3.457204,3.47425,3.459703,3.464192,3.46121,3.447617,3.475042
8,6.749724,6.775264,7.767758,7.784096,7.77947,7.781809,7.794352,7.76475,3.438662,3.414806,3.42171,3.427096,3.428812,3.432443,3.451393,3.492341,7.285082,7.301858,3.482822,7.273073,6.764775,6.75145,6.761845,7.286324,6.752705,7.286178,7.305801,7.267361,7.311697,7.307707,6.726408,6.757887,6.761169,6.735229,6.741727,6.749319,6.774349,6.730836,6.732921,6.759518,8.084509,6.759562,6.739063,6.743462,6.738788,6.760652,6.745441,6.774517,3.437116,3.442502,6.777502,6.755204,6.762651,6.738042,6.739001,6.765262,6.729081,6.783911,6.7692,6.738916,3.46188,3.434993,3.449868,3.476169,3.429071,3.447097,3.438143,3.419677,8.07993,8.065222,8.061745,8.084551,6.746907,7.409566,6.757025,7.416429,6.749358,6.76901,6.736889,6.762345,6.773491,6.78152,6.783073,6.803725,6.755159,6.787353,7.421727,6.795461,3.431478,3.449842,3.465767,3.435088,3.470379,3.466935,3.43704,3.438513,3.450465,3.469997,3.424178,6.783373,6.786967,6.769774,6.810808,6.807535,6.781396,6.784649,6.783639,6.792461,6.766803,6.777253,6.772394,6.766565,6.796179,6.782942,6.80255,6.779752,6.780035,6.757981,6.821141,6.776876,6.772977,6.73087,6.745302,6.771046,6.752745,6.756297,6.772962,6.744581,6.765449,6.729296,3.459204,3.430276,3.424114,5.939667,5.891962,5.967973,6.069846,5.945075,6.040386,5.970107,5.984233,5.9254,6.047943,5.928164,5.942264,5.954731,6.06269,5.930501,3.464259,3.431223
9,6.831807,6.808057,7.81071,7.809808,7.793371,7.852028,7.819391,7.810969,3.479657,3.50388,3.456232,3.488473,3.486085,3.49571,3.518311,3.499948,3.496671,3.479632,3.465859,3.483837,3.48438,3.510948,3.489299,3.478058,3.516905,3.491074,3.449343,3.491318,3.51572,3.483025,3.46852,3.465882,3.493509,3.479981,3.456737,3.519106,3.475317,3.473663,3.471187,3.489786,3.476253,3.508001,3.484693,3.473306,3.493404,3.492631,3.475256,3.473899,3.459691,3.49383,3.484531,3.473399,3.51598,3.470005,3.480893,3.456248,3.486509,3.489998,3.477075,3.471805,3.466314,3.458246,3.486424,3.510443,3.474585,3.450092,3.455075,3.50278,3.471756,3.495375,3.468168,3.477309,3.484775,3.482628,3.513907,3.494621,3.490636,3.474244,3.492316,3.510495,3.473533,3.460818,3.480394,3.492455,3.494885,3.480708,3.506422,3.463301,3.487822,3.487757,3.474875,3.452832,3.491139,3.501775,3.451273,3.493086,3.506212,3.460932,3.479329,3.479723,3.469892,3.482891,3.466633,3.44748,3.491117,3.462968,3.513566,3.497754,3.461236,3.461936,3.434797,3.484801,3.452254,3.496352,3.463617,3.520166,3.475053,3.48166,3.47745,3.45154,3.441851,3.45333,3.501208,3.480534,3.47926,3.471266,3.474517,3.490063,3.473966,3.470638,3.473572,3.506162,3.458057,3.493543,3.495598,3.459419,3.478409,3.461419,3.486511,3.480749,3.46459,3.487753,3.490451,3.487008,3.446997,3.522735,3.494614,3.511913,3.481363,3.465139
